language,project,merge_sha,file,tool,conflicts,classification
csharp,PowerShell,095be4655,src/System.Management.Automation/namespaces/FileSystemProvider.cs,csdiff,0,merge_diferente
csharp,PowerShell,095be4655,src/System.Management.Automation/namespaces/FileSystemProvider.cs,sepmerge,0,correct
csharp,PowerShell,6f0dacddc,src/Microsoft.PowerShell.ConsoleHost/WindowsTaskbarJumpList/TaskbarJumpList.cs,diff3,2,reportou_conflito
csharp,PowerShell,6f0dacddc,src/Microsoft.PowerShell.ConsoleHost/WindowsTaskbarJumpList/TaskbarJumpList.cs,csdiff,2,reportou_conflito
csharp,PowerShell,6f0dacddc,src/Microsoft.PowerShell.ConsoleHost/WindowsTaskbarJumpList/TaskbarJumpList.cs,sepmerge,2,reportou_conflito
csharp,PowerShell,75ba74cce,src/System.Management.Automation/engine/InitialSessionState.cs,diff3,0,correct
csharp,PowerShell,75ba74cce,src/System.Management.Automation/engine/InitialSessionState.cs,csdiff,0,merge_diferente
csharp,PowerShell,75ba74cce,src/System.Management.Automation/engine/InitialSessionState.cs,sepmerge,0,correct
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.Commands.Utility/commands/utility/FormatAndOutput/format-wide/Format-Wide.cs,diff3,6,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.Commands.Utility/commands/utility/FormatAndOutput/format-wide/Format-Wide.cs,csdiff,21,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.Commands.Utility/commands/utility/FormatAndOutput/format-wide/Format-Wide.cs,sepmerge,6,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleHost.cs,diff3,3,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleHost.cs,csdiff,16,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleHost.cs,sepmerge,3,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleHostUserInterface.cs,diff3,4,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleHostUserInterface.cs,csdiff,8,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleHostUserInterface.cs,sepmerge,4,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/CommandCompletion/CompletionCompleters.cs,diff3,1,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/CommandCompletion/CompletionCompleters.cs,csdiff,1,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/CommandCompletion/CompletionCompleters.cs,sepmerge,1,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/ExternalScriptInfo.cs,diff3,1,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/ExternalScriptInfo.cs,csdiff,3,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/ExternalScriptInfo.cs,sepmerge,1,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/hostifaces/History.cs,diff3,3,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/hostifaces/History.cs,csdiff,3,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/hostifaces/History.cs,sepmerge,3,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/hostifaces/MshHostUserInterface.cs,diff3,1,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/hostifaces/MshHostUserInterface.cs,csdiff,1,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/hostifaces/MshHostUserInterface.cs,sepmerge,1,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/MshCmdlet.cs,diff3,16,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/MshCmdlet.cs,csdiff,27,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/MshCmdlet.cs,sepmerge,16,reportou_conflito
csharp,PowerShell,7cf1ef8c8,src/System.Management.Automation/engine/parser/Compiler.cs,diff3,3,reportou_conflito
